RGI_Reg,A,V,V_err,SLE,SLE_err
1,89755,,,44.6,
2,14560,,,2.6,
3,104873,,,61.7,
4,40899,,,15.2,
5,87810,,,47,
6,11060,,,8.7,
7,33959,,,13.3,
8,2853,,,0.8,
9,51591,,,33.8,
10,2933,,,0.5,
11,2064,,,0.3,
12,1354,,,0.2,
13,64524,,,23.7,
14,33861,,,9.5,
15,21819,,,4.1,
16,4068,,,0.3,
17,32546,,,11.7,
18,1162,,,0.3,
19,133246,,,75.1,
Total,734933,,,350,70
Withouth 5+19,513881,,,230,
