RGI_Reg,A,V,V_err,SLE,SLE_err
"01, 02",101,19.2,5.6,46.4,15.3
"03",105,25.4,7.2,59.9,19.2
"04",41,7,2.1,17.7,5.8
"05",90,11.8,3.7,26.8,9.5
"06",11,3.7,0.9,9.4,2.6
"07",34,7,2.3,15.4,5.7
"08",3,0.29,0.1,0.73,0.3
"09",52,15.5,3.9,33.7,9.6
10,3,0.09,0.05,0.22,0.1
11,2,0.12,0.05,0.3,0.1
12,1,0.06,0.03,0.14,0.1
"13, 14, 15",118,9.6,3.7,24.3,10.5
16,2,0.07,0.04,0.16,0.1
17,29,5.9,1.6,14.6,4.4
18,1,0.07,0.03,0.18,0.1
19,133,35.1,9.1,61.3,16
19*,26,3.20,0.83,7.27,1.90
Total,727,140.8,40.4,257.2,85
